Action ID,Action Name,Action Definition,Action Source,MitigationCode
A0256_Wiener2024,Publish results of safety tests,,Wiener2024,4.1 System Documentation
A0264_EU AI Office2025,Documentation,"Signatories commit to documenting information relevant to the assessment and mitigation of sytemic risks from their GPAISRs, including keeping up-to-date model documentation and providing relevant information to providers of AI systems who intend to integrate the general-purpose AI model into their AI systems",EU AI Office2025,4.1 System Documentation
A0388_NIST2024,Legal Compliance Alignment,"Align GAI development and use with applicable laws and regulations, including those related to data privacy, copyright and intellectual property law.",NIST2024,4.1 System Documentation
A0402_NIST2024,Documentation Retention Policy,"Maintain a document retention policy to keep history for test, evaluation, validation, and verification (TEVV), and digital content transparency methods for GAI.",NIST2024,4.1 System Documentation
A0405_NIST2024,Comprehensive Inventory Details,"In addition to general model, governance, and risk information, consider the following items in GAI system inventory entries: Data provenance information (e.g., source, signatures, versioning, watermarks); Known issues reported from internal bug tracking or external information sharing resources (e.g., AI incident database, AVID, CVE, NVD, or OECD AI incident monitor); Human oversight roles and responsibilities; Special rights and considerations for intellectual property, licensed works, or personal, privileged, proprietary or sensitive data; Underlying foundation models, versions of underlying models, and access modes.",NIST2024,4.1 System Documentation
A0423_NIST2024,Downstream Impact Verification,Verify that downstream GAI system impacts (such as the use of third-party plugins) are included in the impact documentation process.,NIST2024,4.1 System Documentation
A0434_NIST2024,Third-Party Change Records,"Maintain records of changes to content made by third parties to promote content provenance, including sources, timestamps, metadata.",NIST2024,4.1 System Documentation
A0437_NIST2024,Value Chain Risk Documentation,Document GAI risks associated with system value chain to identify over-reliance on third-party data and to identify fallbacks.,NIST2024,4.1 System Documentation
A0452_NIST2024,Upstream Dependency Documentation,"Identify and document how the system relies on upstream data sources, including for content provenance, and if it serves as an upstream dependency for other systems.",NIST2024,4.1 System Documentation
A0504_NIST2024,Human Domain Knowledge Documentation,"Document the extent to which human domain knowledge is employed to improve GAI system performance, via, e.g., RLHF, fine-tuning, retrieval-augmented generation, content moderation, business rules.",NIST2024,4.1 System Documentation
A0530_NIST2024,GAI Model Documentation,"Document GAI model details including: Proposed use and organizational value; Assumptions and limitations, Data collection methodologies; Data provenance; Data quality; Model architecture (e.g., convolutional neural network, transformers, etc.); Optimization objectives; Training algorithms; RLHF approaches; Fine-tuning or retrieval-augmented generation approaches; Evaluation data; Ethical considerations; Legal and regulatory requirements.",NIST2024,4.1 System Documentation
A0631_Barrett2024,Disclose Risks to Stakeholders,"Incorporate identified AI system risk factors, and circumstances that could result in
impacts or harms, into reporting and engagement with internal and external stake-
holders (e.g., to downstream developers, regulators, users, impacted communities, etc.) on
the AI system as appropriate, e.g., using model cards, system cards, and other transparency
mechanisms
",Barrett2024,4.1 System Documentation
A0652_Barrett2024, Document Intended Use & Context,"Intended purposes,
potentially beneficial uses,
context-specific laws,
norms and expectations,
and prospective settings
in which the AI system
will be deployed
are understood
and documented.",Barrett2024,4.1 System Documentation
A0654_Barrett2024,Document AI Mission & Goals,"The organization’s
mission and relevant
goals for AI technology
are understood and
documented.",Barrett2024,4.1 System Documentation
A0655_Barrett2024,Business Use,"The business value or
context of business
use has been clearly
defined or – in the case
of assessing existing AI
systems – re-evaluated.",Barrett2024,4.1 System Documentation
A0658_Barrett2024,Define Tasks & Methods,"The specific tasks
and methods used to
implement the tasks
that the AI system will
support are defined
(e.g., classifiers,
generative models,
recommenders).",Barrett2024,4.1 System Documentation
A0659_Barrett2024,Document Limits & Oversight,"Information about the AI
system’s knowledge limits
and how system output
may be utilized and
overseen by humans is
documented. Documen-
tation provides sufficient
information to assist
relevant AI actors when
making decisions and tak-
ing subsequent actions.",Barrett2024,4.1 System Documentation
A0660_Barrett2024,Document TEVV & Integrity,"Scientific integrity and
TEVV considerations
are identified and docu-
mented, including those
related to experimental
design, data collection
and selection (e.g.,
availability, represen-
tativeness, suitability),
system trustworthiness,
and construct validation",Barrett2024,4.1 System Documentation
A0661_Barrett2024,Document Intended Benefits,"Potential benefits of intend-
ed AI system functionality
and performance are ex-
amined and documented",Barrett2024,4.1 System Documentation
A0663_Barrett2024,Document Application Scope,"Targeted application
scope is specified
and documented
based on the system’s
capability, established
context, and AI system
categorization.",Barrett2024,4.1 System Documentation
A0673_Barrett2024,Document TEVV Tools & Metrics,"Test sets, metrics, and
details about the tools
used during TEVV are
documented.",Barrett2024,4.1 System Documentation
A0675_Barrett2024,Measure & Document Deployment Performance,"AI system performance
or assurance criteria
are measured
qualitatively or
quantitatively and
demonstrated
for conditions similar
to deployment
setting(s). Measures
are documented",Barrett2024,4.1 System Documentation
A0680_Barrett2024,Explain & Document Model Behavior,"The AI model is
explained, validated,
and documented, and
AI system output is
interpreted within its
context – as identified
in the Map function – to
inform responsible use
and governance.",Barrett2024,4.1 System Documentation
A0719_NIST2024,Human-AI Configuration; Information Integrity; Harmful Bias and Homogenization,"Provide input for training materials about the capabilities and limitations of GAI
systems related to digital content transparency for AI Actors, other
professionals, and the public about the societal impacts of AI and the role of
diverse and inclusive content generation (AI Deployment, Affected Individuals and Communities, End-Users, Operation and Monitoring, TEVV) ",NIST2024,4.1 System Documentation
A0729_NIST2024,Information Integrity,"Document training data sources to trace the origin and provenance of AI generated content (AI Deployment, AI Impact Assessment, Governance and Oversight, Operation and Monitoring). ",NIST2024,4.1 System Documentation
A0760_NIST2024,Human-AI Configuration,"Use visualizations or other methods to represent GAI model behavior to ease
non-technical stakeholders understanding of GAI system functionality",NIST2024,4.1 System Documentation
A0817_UK Government2023,Information Sharing with Downstream Users ,"Share specific information with downstream users of the model to enable more effective risk mitigation across the AI supply chain and build consumer confidence. This could include uses of the model that are against their terms of service, and could be provided to users through user terms or published information about the model.",UK Government2023,4.1 System Documentation
A0826_UK Government2023,Data Documentation ,"Document data, models, prompts, evaluation materials and other assets, using commonly used structures such as data cards, model cards and software bills of materials (SBOMs). This will allow you to identify and share key information, including particular security concerns, quickly and easily.",UK Government2023,4.1 System Documentation
A0926_UK Government2023,Documentation of Results of Input Data Audits ,"Document the results of input data audits, including metadata. Frontier AI organisations could look to emerging standards when documenting the results of input data audits, such as datasheets for datasets",UK Government2023,4.1 System Documentation
A0938_Gipiškis2024,Calibrated confidence measures for model pre- dictions,"Incorporating calibrated confidence measures alongside a model’s predictions and standard performance metrics, such as accuracy, can help users identify in- stances of overconfidence in incorrect predictions or underconfidence in correct ones [85]. These additional measures can provide users with more information to better interpret the model’s decisions and assess whether its predictions can be trusted.",Gipiškis2024,4.1 System Documentation
A0034_Casper2025,Model registration,"Developers can be required to register (McKernon et al., 2024) frontier systems with governing bodies (regardless of whether they will be externally deployed).",Casper2025,4.2 Risk Disclosure
A0082_Eisenberg2025,Implement a risk reporting mechanism,"Establish processes to identify and disclose known or reasonably foreseeable risks, the discovery of new risks, or instances of non-conformity to third parties.",Eisenberg2025,4.2 Risk Disclosure
A0130_Future of Life Institute2024,Notify government about large training runs,Does your organization notify the appropriate government authorities about large upcoming training runs?,Future of Life Institute2024,4.2 Risk Disclosure
A0138_Future of Life Institute2024,Pre-deployment risk disclosure,Does your organization share the results of its pre-deployment risk assessments with the appropriate government(s) before deploying a new model? Does this reporting include details on internal safety evaluations and any safety evaluations completed by independent third parties? Is the government provided with a justification for why the firm deems the system safe enough to deploy and is willing to accept the remaining risks? Please check all that apply.,Future of Life Institute2024,4.2 Risk Disclosure
A0141_Future of Life Institute2024,Pre-training risk disclosure,Does your organization share the results of model-specific pre-training risk assessments with the appropriate government authorities before launching large training runs?,Future of Life Institute2024,4.2 Risk Disclosure
A0149_Future of Life Institute2024,Safety evaluation transparency,We highlight the main sources of information about content and results of the safety evaluations.,Future of Life Institute2024,4.2 Risk Disclosure
A0193_Schuett2023,Notify a state actor before deployment,AGI labs should notify appropriate state actors before deploying powerful models.,Schuett2023,4.2 Risk Disclosure
A0194_Schuett2023,Notify affected parties,AGI labs should notify parties who will be negatively affected by a powerful model before deploying it.*,Schuett2023,4.2 Risk Disclosure
A0201_Schuett2023,Publish internal risk assessment results,"AGI labs should publish the results or summaries of internal risk assessments, unless this would unduly reveal proprietary information or itself produce significant risk. This should include a justification of why the lab is willing to accept remaining risks.*",Schuett2023,4.2 Risk Disclosure
A0220_Schuett2023,Notify other labs,AGI labs should notify other labs before deploying powerful models.*,Schuett2023,4.2 Risk Disclosure
A0221_Schuett2023,Pre-registration of large training runs,AGI labs should register upcoming training runs above a certain size with an appropriate state actor.,Schuett2023,4.2 Risk Disclosure
A0257_Wiener2024,Report new model deployments to the AG within 30 days,,Wiener2024,4.2 Risk Disclosure
A0259_Wiener2024,Publish assessment of the risk of catastrophic harms from the model,,Wiener2024,4.2 Risk Disclosure
A0269_EU AI Office2025,Public Transparency,"Signatories commit to publishing information relevant to the public understanding of systemic risks stemming from their GPAISRs, where necessary to effectively enable assessment and mitigation of systemic risks, including new or updated versions of their Frameworks and Model Reports.",EU AI Office2025,4.2 Risk Disclosure
A0273_EU AI Office2025,Safety and Security Model Reports,"Signatories should commit to reporting to the AI Office about their implementation of the Code, and especially the application of their Framework to the development, making available on the market, and/or use of their GPAISRs, by creating a Safety and Security Model Report, which will document: (1) the results of systemic risk assessment and mitigation for the model in question; and (2) justifications of decisions to make the model in question available on the market.
",EU AI Office2025,4.2 Risk Disclosure
A0280_Campos2025,Stakeholder Sharing of Risk Documentation,"The results of the risk modeling work should be well documented, including the methodologies used, the experts involved, and the list of identified scenarios. This documentation should be shared with relevant stakeholders",Campos2025,4.2 Risk Disclosure
A0411_NIST2024,National Security Involvement,"When systems may raise national security risks, involve national security professionals in mapping, measuring, and managing those risks.",NIST2024,4.2 Risk Disclosure
A0501_NIST2024,Pre-Deployment Results Sharing,"Share results of pre-deployment testing with relevant GAI Actors, such as those with system release approval authority",NIST2024,4.2 Risk Disclosure
A0526_NIST2024,Annotator Instruction Documentation,Document the instructions given to data annotators or AI red-teamers.,NIST2024,4.2 Risk Disclosure
A0632_Barrett2024,Document Mitigation Rationale,"Document the process used in considering risk mitigation controls,
the options considered, and reasons for choices. 
",Barrett2024,4.2 Risk Disclosure
A0646_Barrett2024,Document & Share AI Risk Impacts,"Organizational teams
document the risks and
potential impacts of
the AI technology they
design, develop, deploy,
evaluate, and use, and
they communicate
about the impacts more
broadly.",Barrett2024,4.2 Risk Disclosure
A0755_NIST2024,Human-AI Configuration; Harmful Bias and Homogenization,"Share transparency reports with internal and external stakeholders that detail
steps taken to update the GAI system to enhance transparency and
accountability",NIST2024,4.2 Risk Disclosure
A0782_UK Government2023,Risk Assessment Disclosure to Third Parties,"Regularly update relevant stakeholders on risk assessment and mitigation measures: This will enable assessment of whether AI organisations have sufficient risk management processes in place, build up a picture of best practices, and make recommendations to address gaps. When sharing this information with external actors, consideration should be given to commercially sensitive information. Additional ad hoc updates could be provided in cases of major developments.Include information on evaluations, risk assessment and mitigation, and individuals involved. For example: 1) What types of tests and evaluations are being run on which types of models; 2) What other risk assessment methods are being used, which kinds of expertise are
drawn on, and whether impacted stakeholders are being involved; 3) How risk mitigation measures are being monitored; 4) Which teams and individuals are involved at different stages of the risk management process (and how, if at all, third parties are involved); 5) Measures taken to address specific categories of risk, such as cybersecurity measures",UK Government2023,4.2 Risk Disclosure
A0803_UK Government2023,Discretionary Evaluator Disclosure ,"Allow evaluators to share and discuss the results of their evaluations, with potential restrictions where necessary e.g. not sharing proprietary information, information whose spread could lead to substantial harm or information that would have an adverse effect on competition in the market. Sharing the results of evaluations can allow governments, regulators, users, and other frontier AI organisations to make informed decisions.",UK Government2023,4.2 Risk Disclosure
A0805_UK Government2023,Disclosure of Model Evaluation Research and Development ,"Share the products of their model evaluation research and development, except when sharing the results might be harmful. In some cases, findings (e.g. about how to elicit dangerous capabilities) could be harmful if spread. When the expected harm is sufficiently small, the AI research community, other frontier AI organisations, and relevant government bodies could benefit from being informed of their work.",UK Government2023,4.2 Risk Disclosure
A0806_UK Government2023,Disclosure of Risk Assessment Processes ,"Share details of risk assessment processes and risk mitigation measures with relevant government authorities and other AI companies, as set out in Responsible Capability Scaling.",UK Government2023,4.2 Risk Disclosure
A0809_UK Government2023,Pre-training Disclosure of High-Level Model Details to Government Authorities,"Before training, share high-level model details with the relevant government authorities and justify why the training run does not impose unacceptable risk. This includes: 1) A high-level description of the model (including high-level information on intended use cases, intended users, training data, and model architecture); 2) Compute details (including the maximum the organisation plans to use, as well as information about its location and who provides it); 3) Description of the data that will be used to train the model; 4) Evidence from scaling small models that the full training run does not pose unacceptably high risks; 5) Descriptions of specific internal and external risk assessments and mitigation efforts,3 and an overall safety assessment justifying why and how the training run is sufficiently low-risk to execute; 6) Description of which, if any, domain experts and impacted stakeholders have been involved in the project’s design, as well as risk and impact assessment; 7) Plans for model evaluations during and after training, as well as predicted dangerous capabilities
",UK Government2023,4.2 Risk Disclosure
A0810_UK Government2023,Updates to Government Authorities During Training,"During training, update information provided to relevant government authorities with any significant changes to the model itself or its risk profile. This could include: 1) Updates on model development at each evaluation checkpoint as well as any significant updates to the development plan; 2) Results from model evaluations, including details of emergent dangerous capabilities and whether these were expected; 3) Whether and how the risk context has changed (e.g. if other AI tools have been published that the model could interact with)
",UK Government2023,4.2 Risk Disclosure
A0811_UK Government2023,Disclosure of Risk Context to Government Authorities at Deployment,"At the point of deployment, share details of the model, any risks the model might pose and what steps have been taken to mitigate those risks with relevant government authorities and the wider public. Information can be provided in full to the relevant government authority, ensuring that robust security measures are in place to protect sensitive information. Some of this information can be made available to the public by publishing a transparency report (e.g. a model card) and providing general overviews of model purpose and risk assessment evaluation results. Information that exposes model vulnerabilities or facilitates the spread of dangerous capabilities should be redacted from the transparency report, unless sharing this information publicly would be sufficiently helpful for mitigating the risks the model poses. Information that is commercially sensitive (e.g. detailed information on training data) or exposes the capabilities or vulnerabilities of the model should be redacted. Commercially sensitive information could be shared with government or regulators, who could share this information with industry in an aggregated or anonymised form. Information shared at deployment could include: 1) A description of the model; 2) Information about safe practices for model usage (including domains of inappropriate and appropriate use, or guidelines on determining whether a use is appropriate); 3) Training details, including a detailed description of the training data and any biases they may encode; 4) The model’s biases, risks and limitations; 5) Pre-development and pre-deployment risk and impact assessment procedures; 6) Details of the evaluation process the frontier AI organisation conducted, including time and resources spent, information about the expertise and independence of people conducting the evaluations, the level of access given to evaluators, and anticipated limitations of the evaluations used; 7) Details about which, if any, domain experts and impacted stakeholders have been involved in the project’s design and risk and impact assessment; 8) The results of any internal or external evaluations that were conducted; 9) Holistic assessments of the models’ robustness, interpretability, and controllability,
drawing on more specific evaluation results; 9) Significant measures taken to mitigate potential harmful consequences of deployment, including accountability and verification mechanisms put in place, and internal governance processes carried out; 10) Capabilities and risks of the final, public-release model before and after safety mitigations, including a description of the mitigations to prevent accidents and misuse (e.g. available tools and their expected effectiveness); 11) Plans for ongoing, post-deployment monitoring of risks and capabilities and how the organisation will respond to future incidents (unless releasing this information would allow bad actors to circumvent post-deployment safety measures); 12) Descriptions of post-deployment access controls; 13) Expected compute requirements for running the model during deployment
",UK Government2023,4.2 Risk Disclosure
A0812_UK Government2023,Adjucation around Publicly Sharing Risks ,"Before sharing information, consider the risks of sharing this information and judge whether it is inappropriate to share certain pieces of information. In particular, it is important to consider potential harms from publicly sharing information about dangerous capabilities and methods for eliciting them, as this information could motivate or help other actors to acquire these capabilities. It is also important to consider potential harms from publicly sharing detailed information about how models were produced, as this may lower barriers to producing similar models. If the models have or could be modified to possess dangerous capabilities (e.g. biological capabilities or surveillance capabilities), then facilitating widespread distribution of the model in this way may be harmful. The National Protective Security Authority (NPSA) guidance on a security-minded approach to information management may prove helpful for sharing information appropriately.",UK Government2023,4.2 Risk Disclosure
A0813_UK Government2023,Principled Policies for Disclosure ,"Develop principled policies about what information to share publicly, with governments, or not at all. These policies could specify situations under which sharing some piece of information is subject to a risk assessment, along with guidelines for conducting the risk assessment and responding to it. It is important, however, to avoid creating risk assessment criteria and procedures that are overly strict and intensive to prevent excessive opacity. These policies could be guided and overseen by an independent review panel of multidisciplinary experts to ensure decisions made about or against information sharing are justifiable and oriented to optimal transparency.",UK Government2023,4.2 Risk Disclosure
A0814_UK Government2023,Disclosure of Information with AI-focused Government Authorities,"Share complete forms of this information with central AI-focused government authorities (including central government bodies, security agencies, and regulators) to enable robust government oversight of potentially high-risk areas of AI development and the processes in place to identify and manage those risks. These authorities could then further share information selectively with additional government bodies where relevant. Some particularly security-relevant pieces of information may need to be shared directly with security agencies, such as the cybersecurity measures being used in model development (which would make it easier for those agencies to identify potential security risks), or specific physical or cybersecurity threat incidents. Robust security measures are in place when sharing more sensitive information.",UK Government2023,4.2 Risk Disclosure
A0815_UK Government2023,Sharing of Limited Information,"Share more limited information with other AI organisations in order to facilitate learning and the development of best practices. This could include best practices and lessons learned in the development of risk assessment and mitigation measures and risk governance processes, some details about safety and security incidents (to enable increased awareness while protecting intellectual property), and highlights and lessons learned from risk assessments and capability evaluation. In general, it will be easier for organisations to share model-agnostic information with one another than model-specific information, which may be more commercially sensitive. It will also be important to consider that there is no privileged access to information that may give a competitive advantage to some firms.",UK Government2023,4.2 Risk Disclosure
A0818_UK Government2023,Sharing General Information with the Public,"Share more general versions of the information outlined with the public to enable public scrutiny and build public confidence in the safety and reliability of AI systems. This could include high-level summaries of risk assessment and mitigation processes, high-level details of safety and security incidents, summaries of risk governance processes, and general overviews of model purpose, use cases, and the results of risk assessments and capability evaluations.",UK Government2023,4.2 Risk Disclosure
A0863_UK Government2023,Cost-Benefit Analysis of Sharing Vulnerability Reports ,"Consider the ways in which sharing information about vulnerabilities can both exacerbate and mitigate risks. Sharing can alert would-be attackers, but also alert would-be victims and actors with the power to create defences. One particularly important factor is how easily fixable the model vulnerability is. If a vulnerability will take a very long time to fix, or cannot be fixed, then public reporting may not be justified.",UK Government2023,4.2 Risk Disclosure
A0864_UK Government2023,Development of Protocols for Disclosure of Model Vulnerability Information,"Developing – and publicly describe – protocols for deciding how to share model vulnerability information. These protocols may, for example, outline conditions under which information is to be shared with different actors depending on the type of harm or vulnerability identified.",UK Government2023,4.2 Risk Disclosure
A0865_UK Government2023,Mechanisms to Disclose Vulnerability Reports to Third Parties,"Put in place mechanisms to disclose information about vulnerabilities to relevant government authorities, law enforcement, and other affected organisations. This may be particularly relevant for vulnerabilities where public disclosure might increase the risk of harm.",UK Government2023,4.2 Risk Disclosure
A0866_UK Government2023,Public Sharing of Model Vulnerability Reporting Programs,"Publicly share general lessons learned from model vulnerability reporting programs. This might include, for example, lessons about challenges faced and the relative efficacy of different incentive strategies. Such sharing could be done via a mechanism similar to the National Institute for Science and Technology’s National Vulnerability Database in the US.",UK Government2023,4.2 Risk Disclosure
A0882_UK Government2023,Discretion around sharing Defense Tools,"Disseminate defensive tools responsibly, sometimes sharing them publicly and sometimes sharing them only with particular actors. In some cases, making a tool freely available (e.g. by open-sourcing it) may reduce its effectiveness by allowing malicious actors to study it and circumvent it.",UK Government2023,4.2 Risk Disclosure
A0888_UK Government2023,Public Sharing of Societal Impact Assessments ,"In the absence of sufficiently substantial downsides to sharing, frontier AI organisations are encouraged to share the products of this work broadly.",UK Government2023,4.2 Risk Disclosure
A0890_UK Government2023,Reporting of Broad Patterns of Misuse,"Report information on broad patterns of misuse. This information can help governments, the public, and other frontier AI organisations to better understand risks. Reports may focus on population-level metrics related to API usage, such as the rate of harmful inputs filtered or the number of users banned for misuse. This information may benefit from being presented in a clear and understandable way and made optimally accessible.",UK Government2023,4.2 Risk Disclosure
A0903_UK Government2023,Protocols for Sharing API users Information with government authorities,"Establish protocols for deciding when and how to share information about API users with relevant government authorities. These protocols may include covering circumstances under which information about a user is proactively shared with government bodies (e.g. cases where there is reason to think a user may be attempting to cause grave harm), and how to respond to government requests for data.",UK Government2023,4.2 Risk Disclosure
A0933_UK Government2023,Disclosure of Input Data Audits with External Stakeholders,"Share information about input data audits with users and external stakeholders. Some information could be included in transparency reports, such as high-level information about training data (including data sources), data auditing procedures, and measures taken to reduce risk (see Model Reporting and Information Sharing). More sensitive information may be shared directly with regulators and external auditors.",UK Government2023,4.2 Risk Disclosure
A1032_Uuk2024,Pre-registration of large training runs,"Registering upcoming training runs above a certain size with an appropriate state actor. Such reports could include descriptions of architecture, training compute, data collection and curation, training objectives and techniques, and planned risk management procedures.",Uuk2024,4.2 Risk Disclosure
A0009_Bengio2025,Incident Reporting,"The process of systematically documenting and sharing cases in which developing or deploying AI has caused direct or indirect harms.

Incident reporting is common in many domains, from human resources to cybersecurity. It has also become more common for AI. ",Bengio2025,4.3 Incident Reporting
A0030_Casper2025,Incident reporting,Frontier developers can be required to document and report on substantial incidents in a timely manner.,Casper2025,4.3 Incident Reporting
A0083_Eisenberg2025,Establish a general purpose incident response mechanism,"Establish processes to enable incident monitoring and reporting. This includes defining ”serious incidents” or set a threshold for formal reporting based on regulatory requirements to third-parties, regulators, and impacted individuals.",Eisenberg2025,4.3 Incident Reporting
A0085_Future of Life Institute2024,AI incident reporting,"Does your organization report AI incidents, adverse events, and near-misses related to frontier AI models to the appropriate government?",Future of Life Institute2024,4.3 Incident Reporting
A0106_Future of Life Institute2024,Cyber Threat Intelligence Sharing,Does your organization share cyber threat intelligence information with the appropriate government(s) and other leading AI firms?,Future of Life Institute2024,4.3 Incident Reporting
A0151_Future of Life Institute2024,Security breach disclosure,Does your organization disclose security breaches to the appropriate government(s)? Does this policy include reporting of near-misses?,Future of Life Institute2024,4.3 Incident Reporting
A0152_Future of Life Institute2024,Security breach disclosure,Does your organization disclose security breaches to the appropriate government(s)? Does this policy include reporting of near-misses?,Future of Life Institute2024,4.3 Incident Reporting
A0184_Schuett2023,Industry sharing of security information,AGI labs should share threat intelligence and information about security incidents with each other.*,Schuett2023,4.3 Incident Reporting
A0205_Schuett2023,Report safety incidents,AGI labs should report accidents and near misses to appropriate state actors and other AGI labs (e.g. via an AI incident database).,Schuett2023,4.3 Incident Reporting
A0263_EU AI Office2025,Serious Incident Reporting,"Signatories commit to setting up processes for keeping track of, documenting, and reporting to the AI Office and national competent authorities without undue delay relevant information about serious incidents throughout the entire model lifecycle and possible corrective measures to address them.",EU AI Office2025,4.3 Incident Reporting
A0408_NIST2024,Incident Communication Framework,"Establish organizational roles, policies, and procedures for communicating GAI incidents and performance to AI Actors and downstream stakeholders (including those potentially impacted), via community or official resources (e.g., AI incident database, AVID, CVE, NVD, or OECD AI incident monitor).",NIST2024,4.3 Incident Reporting
A0425_NIST2024,	Feedback Resource Allocation,"Allocate time and resources for outreach, feedback, and recourse processes in GAI system development.",NIST2024,4.3 Incident Reporting
A0438_NIST2024,Third-Party Incident Documentation,"Document incidents involving third-party GAI data and systems, including open-source data and open-source software",NIST2024,4.3 Incident Reporting
A0703_Barrett2024,Report & Respond to Incidents  ,"Incidents and errors
are communicated
to relevant AI actors,
including affected
communities. Processes
for tracking, responding
to, and recovering
from incidents and
errors are followed and
documented.",Barrett2024,4.3 Incident Reporting
A0761_NIST2024,Confabulation; Information Integrity,"Establish and maintain policies and procedures to record and track GAI system
reported errors, near-misses, and negative impacts.",NIST2024,4.3 Incident Reporting
A0762_NIST2024,Information Security; Data Privacy,"Report GAI incidents in compliance with legal and regulatory requirements (e.g.,
HIPAA breach reporting, e.g., OCR (2023) or NHTSA (2022) autonomous vehicle
crash reporting requirements.",NIST2024,4.3 Incident Reporting
A0808_UK Government2023,Reporting Security Details to Government Authorities,"Report any details of security or safety incidents or near-misses to relevant government authorities. This includes any compromise to the security of the organisation or its systems, or any incident where an AI system – deployed or not – causes substantial harm or is close to doing so. This will enable government authorities to build a clear picture of when safety and security incidents occur and make it easier to anticipate and mitigate future risks. Incident reports could include a description of the incident, the location, start and end date, details of any parties affected and harms occurred, any specific models involved, any relevant parties responsible for managing and responding to the incident, as well as ways in which the incident could have been avoided. It is important that incidents indicative of more severe risks are reported as soon as possible after they occur. High-level details of safety and security incidents - with sensitive information removed - could also be made public, such as have been shared in the AI incident database.",UK Government2023,4.3 Incident Reporting
A0838_UK Government2023,Open Lines of Communication for Product Security Feedback ,"Maintain open lines of communication for feedback regarding product security, both internally and externally to your organisation, including mechanisms for security researchers to report vulnerabilities and receive legal safe harbour for doing so, and for escalating issues to the wider community. Helping to share knowledge and threat information will strengthen the overall community’s ability to respond to AI security threats.",UK Government2023,4.3 Incident Reporting
A0854_UK Government2023,Jailbreaking Method Vulnerability Reports,"This process could have as wide a scope as is necessary and ensure that frontier AI organisations have the ability to respond appropriately to reports of vulnerabilities. The process could accept reports on any class of model vulnerabilities and methods for exploiting them, including: Reports for inducing models to bypass moderation features, which the frontier AI organisation has attempted to prevent through the use of filters or fine-tuning",UK Government2023,4.3 Incident Reporting
A0855_UK Government2023,Prompt Injection Vulnerability Reports,"This process could have as wide a scope as is necessary and ensure that frontier AI organisations have the ability to respond appropriately to reports of vulnerabilities. The process could accept reports on any class of model vulnerabilities and methods for exploiting them, including:Reports used by malicious actors to induce models to exhibit behaviours they want by presenting models with prompts that contain instructions to perform these behaviours",UK Government2023,4.3 Incident Reporting
A0856_UK Government2023,Privacy Attacks Vulnerability Reports,"This process could have as wide a scope as is necessary and ensure that frontier AI organisations have the ability to respond appropriately to reports of vulnerabilities. The process could accept reports on any class of model vulnerabilities and methods for exploiting them, including: methods for extracting information that should be private from models (e.g. sensitive information from training data or users’ private conversations with models)",UK Government2023,4.3 Incident Reporting
A0857_UK Government2023,Vulnerability Reports for Unaddressed Misuse Opportunities ,"This process could have as wide a scope as is necessary and ensure that frontier AI organisations have the ability to respond appropriately to reports of vulnerabilities. The process could accept reports on any class of model vulnerabilities and methods for exploiting them, including: methods for using the capabilities of models to cause harm, which have not already been addressed",UK Government2023,4.3 Incident Reporting
A0858_UK Government2023,Vulnerability Reports for Poisoning Attacks ,"This process could have as wide a scope as is necessary and ensure that frontier AI organisations have the ability to respond appropriately to reports of vulnerabilities. The process could accept reports on any class of model vulnerabilities and methods for exploiting them, including: Reports for when an adversary has manipulated training data in order to degrade model performance",UK Government2023,4.3 Incident Reporting
A0859_UK Government2023,Vulnerability Reports for Bias and Discrimination ,"This process could have as wide a scope as is necessary and ensure that frontier AI organisations have the ability to respond appropriately to reports of vulnerabilities. The process could accept reports on any class of model vulnerabilities and methods for exploiting them, including:Reports for when a model is exhibiting behaviours that reveal specific biases or discrimination regarding known protected characteristics",UK Government2023,4.3 Incident Reporting
A0860_UK Government2023,Vulnerability Reports for Performance Issues ,"This process could have as wide a scope as is necessary and ensure that frontier AI organisations have the ability to respond appropriately to reports of vulnerabilities. The process could accept reports on any class of model vulnerabilities and methods for exploiting them, including: when a model performs inadequately for a situation it is being deployed in e.g. a healthcare chatbot AI that provides incorrect information and causes harm to patients",UK Government2023,4.3 Incident Reporting
A0861_UK Government2023,"Vulnerability Reports for Controllability Issues (i.e., ""Misalignment"") ","This process could have as wide a scope as is necessary and ensure that frontier AI organisations have the ability to respond appropriately to reports of vulnerabilities. The process could accept reports on any class of model vulnerabilities and methods for exploiting them, including: when models apply their capabilities in ways that substantially diverge from what users intend or desire",UK Government2023,4.3 Incident Reporting
A0862_UK Government2023,Model Vulnerability Reports,"This process could have as wide a scope as is necessary and ensure that frontier AI organisations have the ability to respond appropriately to reports of vulnerabilities. The process could accept reports on any class of model vulnerabilities and methods for exploiting them, including: Establish clear, user-friendly, and publicly described processes for receiving model vulnerability reports drawing on established software vulnerability reporting processes. These processes can be built into – or take inspiration from – processes that organisations have built to receive reports of traditional software vulnerabilities. It is crucial that these policies are made publicly accessible and function effectively.
",UK Government2023,4.3 Incident Reporting
A0982_Gipiškis2024,Encourage reporting of critical vulnerabilities to the upstream provider or other relevant stakeholders,"Downstream AI system deployers can report critical vulnerabilities or incidents to the upstream model provider and other relevant regulators. This can con- tribute to safe use, and allow other downstream deployers to be informed about any potential problems.",Gipiškis2024,4.3 Incident Reporting
